,Common Name,Binomial name,Locations,Last record,Biggest Threat,Kingdom,Phylum,Class,Order,Family,Genus,Subphylum,Subfamily,Species,Tribe,Subtribe,Clade,Suborder,Infraclass,Declared extinct,Subspecies,Subgenus
468,Alejandro Selkirk firecrown,Sephanoides fernandensis leyboldi,"Alejandro Selkirk Island?,Juan Fernández Archipelago, Chile",1908,"Probably deforestation, predation and erosion caused by introduced cats, rats, goats, and rabbits, and competition of intorduced plants with the nesting treeLuma apiculata.[53]",Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,,,E. ferus,,,,,,,†E. f. ferus,
469,Robust white-eye,Zosterops strenuus,"Lord Howe Island, Australia",1908,Predation by black rats.[315],Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,,,E. ferus,,,,,,19281988(IUCN),†E. f. ferus,
470,Cumberland leafshell,Epioblasma stewardsonii,"Tennessee andCoosa Riversystems, United States",1909,Undetermined.,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,,,E. ferus,,,,,,,†E. f. ferus,
471,Bogotá sunangel,Heliantelus zusii,Northern Andes?,1909,Possibly deforestation.[53],Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,,,E. ferus,,,,,,,†E. f. ferus,
472,Tarpan,Equus ferus ferus,Europe,1909,Hunting and hybridization withdomestic horses.,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,,,E. ferus,,,,,,,†E. f. ferus,
473,Southwestern thick-billed grasswren,Amytornis textilis macrourus,Southwest Australia,1910,Drought and overgrazing by livestock and introduced mammals.[53],0,,,,,,,,,,,,,,,,
474,Maui hau kuahiwi,Hibiscadelphus wilderianus,"Maui, Hawaii, United States",1910,Undetermined.[318],0,,,,,,,,,,,,,,1978(IUCN),,
475,Yellowfin cutthroat trout,Oncorhynchus clarki macdonaldi,"Twin Lakes,Colorado, United States",1910,"Hybridization withrainbow troutand competition withlake trout, both introduced.[257]",0,,,,,,,,,,,,,,,,
476,Slender-billed grackle,Quiscalus palustris,"Lerma Riverand Xochimilco, Mexico",1910,Draining ofmarshlands.[319],0,,,,,,,,,,,,,,1988(IUCN),,
477,Iwo Jima rail,Amaurornis cinerea breviceps,"Naka Iwo Jima andMinami Iwo Jima, Bonin Islands, Japan",1911,Habitat clearance for agriculture and predation by introduced cats and rats.[53],0,,,,,,,,,,,,,,,,
478,New Caledonian buttonquail,Turnix novaecaledoniae,New Caledonia,1911,"Hunting, habitat degradation and predation by introduced animals.[320]",0,,,,,,,,,,,,,,,,
479,Namoi Valley thick-billed grasswren,Amytornis textilis inexpectatus,"CentralNew South Wales, Australia",1912,Undetermined.[53],0,,,,,,,,,,,,,,,,
480,Cape Verde giant skink,Chioninia coctei,Cape Verde,1912,Predation by feral cats.[321],0,,,,,,,,,,,,,,1996(IUCN),,
481,Guadalupe storm petrel,Oceanodroma macrodactyla,"Guadalupe Island, Mexico",1912,"Predation by feral cats, and habitat degradation by goat grazing.[322]",0,,,,,,,,,,,,,,,,
482,New Caledonian lorikeet,Charmosyna diadema,New Caledonia,1913,Undetermined.[323],0,,,,,,,,,,,,,,1998,,
483,Canary Islands oystercatcher,Haematopus meadewaldoi,"Lanzarote and Fuerteventura, Spain;Senegal?",1913,Overharvesting of intertidal invertebrates.[324],0,,,,,,,,,,,,,,,,
484,Passenger pigeon,Ectopistes migratorius,Eastern North America,1914,Hunting and habitat loss.,0,,,,,,,,,,,,,,,,
485,Laughing owl,Ninox albifacies,New Zealand,1914,Competition or predation by introducedstoatsand cats.[328],0,,,,,,,,,,,,,,1988(IUCN),,
486,Kenai Peninsula wolf,Canis lupus alces,"Kenai Peninsula, Alaska, United States",c. 1915,Extermination campaign.,0,,,,,,,,,,,,,,,,
487,Dirk Hartog thick-billed grasswren,Amytornis textilis carteri,"Dirk Hartog Island, Western Australia",1918,Predation by introduced rats.[53],0,,,,,,,,,,,,,,,,
488,Lord Howe starling,Aplonis fusca hulliana,"Lord Howe Island, Australia",1918,Predation by introduced black rats.[330],0,,,,,,,,,,,,,,19281988(IUCN),,
489,Bernard's wolf,Canis lupus bernardi,"Banks Island, Canada",1918-1952,Undetermined. It's been suggested that Bernard's wolf should be merged with the extantarctic wolf[332]or other wolves from the continent.[331],0,,,,,,,,,,,,,,,,
490,Carolina parakeet,Conorupsis carolinensis,Eastern and central United States,1918,"Hunting, habitat loss, and competition with introducedbees.[333]",0,,,,,,,,,,,,,,1988(IUCN),,
491,Lānaʻi hookbill,Dysmorodrepanis munroi,"Lana'i, Hawaii, United States",1918,"Habitat destruction forpineappleagriculture, and predation by introduced cats and rats.[334]",0,,,,,,,,,,,,,,1988(IUCN),,
492,Appalachian Barbara's buttons,Marshallia grandiflora,"HendersonandPolkcounties,North Carolina, United States",1919,Undetermined.[335],0,,,,,,,,,,,,,,2020,,
493,Florida black wolf,Canis rufus[336]floridanus,Southeastern United States,c. 1920,Hunting and habitat loss.[336],,,,,,,,,,,,,,,,,
494,True fera,Coregonus fera,Lake Geneva,1920,Eutrophication and overfishing.[337],,,,,,,,,,,,,,,2008(IUCN),,
495,Great Plains wolf,Canis lupus nubilus,North American prairie,1922,"Extermination campaign. The Great Plains wolf has been later determined to be continuous morphologically[332]and genetically[340]with the still existingMexican wolf, which would use the nameC. l. nubilusif placed in the same subspecies, due to being the older one.",,,,,,,,,,,,,,,1926[339],,
496,Red-moustached fruit dove,Ptilinopus mercierii,"Marquesas, French Polynesia",1922,"Predation by introducedgreat horned owls, rats, and cats.[341]",,,,,,,,,,,,,,,1994(IUCN),,
497,Norfolk Island starling,Aplonis fusca fusca,"Norfolk Island, Australia",1923,Undetermined.[330],,,,,,,,,,,,,,,19681988(IUCN),,
498,Laysan honeycreeper,Himatione fraithii,"Laysan, Hawaii, United States",1923,Habitat destruction by introduced rabbits.[342],,,,,,,,,,,,,,,2016(IUCN),,
499,Nazareno,Monteverdia lineata,Western Cuba,1923,Possibly habitat degradation.[343],,,,,,,,,,,,,,,2020(IUCN),,
500,Round combshell,Epioblasma personata,"Tennessee, Wabash, and Ohio River systems, United States",1924,Undetermined.[344],,,,,,,,,,,,,,,,,
501,California grizzly bear,Ursus arctos californicus,"California, United States",1924,Hunting.[345],,,,,,,,,,,,,,,,,
502,Bubal hartebeest,Alcelaphus buselaphus buselaphus,North Africa andSouthern Levant,1925,Hunting.[346],,,,,,,,,,,,,,,,,
503,Anthony's woodrat,Neotoma bryanti anthonyi,"Isla Todos Santos, Mexico",1926,Predation by feral cats.[347],,,,,,,,,,,,,,,2008(IUCN),,
504,Thick-billed ground dove,Alopecoenas salamonis,Solomon Islands,1927,"Probably habitat destruction, hunting, and predation by introduced cats and rats.[348]",,,,,,,,,,,,,,,2005(IUCN),,
505,Caucasian wisent,Bison bonasus caucasicus,Caucasus Mountains,1927,"Hunting. Hybrid descendants exist in captivity, and have been reintroduced to the wild.[350]",,,,,,,,,,,,,,,,,
506,Snake River sucker,Chasmistes muriei,"Snake River, United States",1927,Hybridization with theUtah suckerafter dams changed the river's flow.[257],,,,,,,,,,,,,,,,,
507,Syrian wild ass,Equus hemionus hemippus,Near East,1927,Hunting.[351],,,,,,,,,,,,,,,,,
508,Hawaii yellowwood,Ochrosia kilaueaensis,"Hawai'i, Hawaii, United States",1927,"Habitat degradation by introduced plants, goats, and fires.[352]",,,,,,,,,,,,,,,2020(IUCN),,
509,Cry pansy,Viola cryana,"Cry, Yonne, France",1927,Overcollection bybotanistsandlimestonequarrying.[353],,,,,,,,,,,,,,,2011(IUCN),,
510,Utah Lake sculpin,Cottus echinatus,"Utah Lake,Utah, United States",1928,"Increased water pollution and salinity caused by agriculture, and introduced fishes. The last individuals may have been killed bydroughtin the 1930s.[257]",,,,,,,,,,,,,,,,,
511,Lord Howe gerygone,Gerygone insularis,"Lord Howe Island, Australia",1928,Predation by introduced rats.[354],,,,,,,,,,,,,,,19361988(IUCN),,
512,Paradise parrot,Psephotellus pulcherrimus,Eastern Australia,1928,Probably habitat degradation.[355],,,,,,,,,,,,,,,1994(IUCN),,
513,Acalypha wilderi,Acalypha wilderi,"NorthwesternRarotonga,Cook Islands",1929,"Deforestation for agriculture and housing development. Doubts exist about it being distinct from still livingA. raivavensisandA. tubuaiensis; if indeed the same, the older nameA. wilderiprevails.[356]",,,,,,,,,,,,,,,2014(IUCN),,
514,Makira woodhen,Pareudiastes silvestris,"Makira, Solomon Islands",1929,Probably predation by introduced cats and rats.[53],,,,,,,,,,,,,,,,,
515,Scleria chevalieri,Scleria chevalieri,WesternSenegal,1929,Draining of wetland habitat.[357],,,,,,,,,,,,,,,2020(IUCN),,
516,Western rufous bristlebird,Dasyornis broadbenti littoralis,Southwestern Australia,c. 1930,Burning of shrublands for pasture and predation by introduced cats.[53],0,,,,,,,,,,,,,,,,
517,Tahiti rail,Hypotaenidia pacifica,"Tahiti andMehetia?, French Polynesia[53]",1930-1939,Probably predation by introduced cats and rats.[358],0,,,,,,,,,,,,,,1988(IUCN),,
518,St Kilda house mouse,Mus musculus muralis,"St Kilda, Scotland",1930,"Complete evacuation of St Kilda's human population, which it depended on.[359]",0,,,,,,,,,,,,,,,,
519,Darwin's Galápagos mouse,Nesoryzomys darwini,"Santa Cruz, Galápagos Islands, Ecuador",1930,"Competition, predation, and exotic pathogens from introduced black rats.[360]",0,,,,,,,,,,,,,,,,
520,Nuku Hiva monarch,Pomarea nukuhivae,"Nuku Hiva, Marquesas Islands, French Polynesia",1930-1939,Probably habitat destruction and predation by introduced species.[361],0,,,,,,,,,,,,,,19722006(IUCN),,
521,Silver trout,Salvelinus agassizi,"Dublin PondandChristine Lake,New Hampshire, United States",1930,Overfishing and introduction of exotic fish.[257],0,,,,,,,,,,,,,,,,
522,Bunker's woodrat,Neotoma bryanti bunkeri,"Coronados Islands, Mexico",1931,Depletion of food resources and predation by feral cats.[362],0,,,,,,,,,,,,,,2008(IUCN),,
523,Roosevelt's giant anole,Anolis roosevelti,Virgin Islands,1932,Possibly deforestation.[363],0,,,,,,,,,,,,,,,,
524,Western Lewin's rail,Lewinia pectoralis clelandii,Southwest Australia,1932,Drainage and burning of wetlands for agriculture and settlement.[53],0,,,,,,,,,,,,,,1980s,,
525,Heath hen,Tympanuchus cupido cupido,East Coast of the United States,1932,"Hunting, predation by feral cats, wildfires, andhistomoniasistransmitted by domesticpoultry.[364][365]",0,,,,,,,,,,,,,,,,
526,Wolseley conebush,Leucadendron spirale,"Breede RiverValley, South Africa",1933,"Habitat destruction for timber plantations and agriculture, competition with invasive plants.[366]",0,,,,,,,,,,,,,,2020(IUCN),,
527,Lost shark,Carcharhinus obsoletus,SouthernSouth China Sea,1934,Fishing.[367],0,,,,,,,,,,,,,,,,
528,Hawaiʻi ʻōʻō,Moho nobilis,"Lana'i, Hawaii, United States",1934,Possibly habitat loss and disease.[368],0,,,,,,,,,,,,,,1988(IUCN),,
529,Indefatigable Galápagos mouse,Nesoryzomys indefessus,"Santa Cruz andBaltra, Galápagos Islands, Ecuador",1934,Introduction of black rats.[369],0,,,,,,,,,,,,,,2008(IUCN),,
530,Aguelmame Sidi Ali trout,Salmo pallaryi,"Lake Aguelmame Sidi Ali, Morocco",1934,Introduction of thecommon carp.[371],0,,,,,,,,,,,,,,2006(IUCN),,
531,Desert rat-kangaroo,Caloprymnus campestris,Central Australia,1935,Predation by introduced red foxes and cats.[372],0,,,,,,,,,,,,,,1994(IUCN),,
532,Mogollon mountain wolf,Canis lupus mogollonensis,"Arizona, United States",1935,"Hunting. The subspecific differences between extinct Great Plains wolf, Mogollon mountain wolf, Southern Rocky Mountain wolf, and surviving Mexican wolf have been denied on morphological grounds.[332]",0,,,,,,,,,,,,,,,,
533,Ryukyu wood pigeon,Columba jouyi,"Ryukyu, Japan",1936,Possibly deforestation.[53],0,,,,,,,,,,,,,,1988(IUCN)[374],,
534,Thylacine,Thylacinus cynocephalus,Australia and New Guinea,1936,"Competition with humans anddingos, extermination campaign (in Tasmania).",0,,,,,,,,,,,,,,1982(IUCN)[378],,
535,Bali tiger,Panthera tigris balica,"Bali, Indonesia",1937,Hunting and habitat loss. Genetics do not support a subspecific differentiation with the livingSumatran tiger.[232],0,,,,,,,,,,,,,,,,
536,Marquesas swamphen,Porphyrio paepae,"Hiva OaandTahuata, Marquesas, French Polynesia",1937,Probably hunting and predation by rats and cats.[379],0,,,,,,,,,,,,,,2014(IUCN),,
537,Banara wilsonii,Banara wilsonii,"Puerto Padre, Cuba",1938,Habitat destruction for sugarcane cultivation.[380],0,,,,,,,,,,,,,,2020(IUCN),,
538,Pahranagat spinedace,Lepidomeda altivelis,"Pahranagat Valley,Nevada, United States",1938,"Competition and predation by introducedcommon carps,mosquitofish, andAmerican bullfrogs.[257]",0,,,,,,,,,,,,,,,,
539,Bougainville black-faced pitta,Pitta anerythra pallida,"Bougainville Island, Papua-New Guinea",1938,Undetermined.[53],0,,,,,,,,,,,,,,,,
540,Eastern cougar,Puma concolor couguar,Eastern North America,1938,"Hunting. Genetics do not support subspecies differentiation between the eastern cougar and living cougars inFloridaandWestern North America;[232]if placed under a single subspecies, this would have the nameP. c. couguarbecause of being older.",0,,,,,,,,,,,,,,2011[382],,
541,Grass Valley speckled dace,Rhynichthys osculus reliquus,"Lander County, Nevada, United States",1938,Introduction of the rainbow trout.[257],0,,,,,,,,,,,,,,,,
542,Schomburgk's deer,Rucervus schomburgki,CentralThailand,1938,Hunting.[383],0,,,,,,,,,,,,,,1994(IUCN),,
543,Grand Cayman thrush,Turdus ravidus,"Grand Cayman, Cayman Islands",1938,Probably habitat loss.[384],0,,,,,,,,,,,,,,19651988(IUCN),,
544,Toolache wallaby,Macropus greyi,Southeastern Australia,1939,"Habitat loss to agriculture, hunting, and predation by introduced red fox.[385]",0,,,,,,,,,,,,,,1982(IUCN),,
545,Roystonea stellata,Roystonea stellata,"Baracoa, eastern Cuba",1939,Habitat destruction forcoffeecultivation.[386],0,,,,,,,,,,,,,,2020(IUCN),,
546,Sugarspoon,Epioblasma arcaeformis,"Cumberland and Tennessee river systems, United States",c. 1940,Damming.[387],Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,1983(IUCN),,
547,Lesser ʻakialoa,Akialoa obscura,"Hawai'i Island, Hawaii, United States",1940,Possibly deforestation and introduced disease-carrying mosquitos.[388],Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,1994(IUCN),,
548,Cascade mountain wolf,Canis lupus fuscus,ContinentalCascadia[332],1940,Hunting.,Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,,,
549,Las Vegas dace,Rhinichthys deaconi,"Las Vegas Valley, Nevada, United States",1940,Habitat destruction.[257],Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,1965,,
550,Javan lapwing,Vanellus macropterus,"Java, Indonesia",1940,Hunting and habitat loss to agriculture.[389],Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,,,
551,Arabian ostrich,Struthio camelus syriacus,Arabian Peninsula and the Near East,c. 1941,Hunting.[390],Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,,,
552,Texas gray wolf,Canis lupus monstrabilis,"Texas, United States",1942,Hunting. The Texas gray wolf has been at times included within either the extinct Great Plains wolf or the living Mexican wolf on morphological grounds.[332],Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,,,
553,Eriocaulon inundatum,Eriocaulon inundatum,Senegalcoast,1943,Habitat destruction forsalt mining.[391],Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,2020(IUCN),,
554,Cebu hanging parrot,Loriculus philippensis chrysonotus,"Cebu, Philippines",1943,Deforestation.[53],Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,,,
555,Barbary lion,Panthera leo leo,North Africa,1943,"Habitat loss fromdesertificationand human activities, followed by extermination campaign. Hybrid descendants are believed to exist in captivity.[392]However, genetics do not support subspecies differentiation with living wild lions inAsia,WestandCentral Africa,[232]which would be namedP. l. leoif placed within a single subspecies.",Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,,,
556,Desert bandicoot,Perameles eremiana,Central Australia,1943,"Predation by cats and foxes, competition withEuropean rabbits, and changes to thefire regimeafter theBritish colonization of Australia.[393]",Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,1982(IUCN),,
557,American ivory-billed woodpecker,Campephilus principalis principalis,Southern United States,1944,Logging and hunting.,Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,,,
558,Laysan rail,Zapornia palmeri,"Laysan, Hawaii, United States",1944,"Habitat destruction by introduced rabbits andguinea pigs, and predation by introduced rats.[397]",Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,1988(IUCN),,
559,Wake Island rail,Hypotaenidia wakensis,"Wake Island, United States",1945,Hunting and destruction caused byfightinginWorld War II.[398],Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,1988(IUCN),,
560,Ash Meadows killifish,Empetrichthys merriami,"Ash Meadows, Nevada, United States",1948,Predation by introduced bullfrogs andred swamp crayfish.[257],Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,,,
561,Sinú parakeet,Pyrrhura subandina,"Sinú Valley,Córdoba, Colombia",1949,Possibly hunting and habitat loss.[53],Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,,,
562,Pink-headed duck,Rhodonessa caryophyllacea,"Northeast India,Bangladesh, and northernMyanmar",1949,Habitat loss to agriculture.[399],Animalia,Chordata,Aves,Anseriformes,Anatidae,"RhodonessaReichenbach, 1853",,,R. caryophyllacea,,,,,,,,
563,Little Swan Island hutia,Geocapromys thoracatus,"Little Swan Island, Honduras",c. 1950,Introduced rats.[400],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,1996(IUCN),,
564,Eriocaulon jordanii,Eriocaulon jordanii,Sierra Leonecoast,1950-1959,Possibly habitat destruction forricecultivation.[401],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,2020(IUCN),,
565,San Martín Island woodrat,Neotoma bryanti martinensis,"Isla San Martín, Mexico",1950-1959,Predation by feral cats.[402],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,2008(IUCN),,
566,Tawi-tawi buttonquail,Turnix sylvaticus suluensis,"Joloand Tawi-tawi, Sulu, Philippines",1950-1959,Possibly deforestation and predation by introduced animals.[53],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,,,
567,Japanese sea lion,Zalophus japonicus,Japanese IslandsandKorea,1951,Hunting.[403],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,1994(IUCN),,
568,Niceforo's pintail,Anas georgica niceforoi,CentralColombia,1952,Possibly hunting and habitat degradation.[53],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,,,
569,Deepwater cisco,Coregonus johannae,LakesMichiganandHuron,1952,"Overfishing, predation by introducedlampreys, and hybridization with more common ciscoes.[257]",Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,1986(IUCN),,
570,Caribbean monk seal,Neomonachus tropicalis,"Caribbean Sea, Bahamas, andGulf of Mexico",1952,Hunting.[406],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,1994(IUCN)2008[405],,
571,New Mexico sharp-tailed grouse,Tympanuchus phasianellus hueyi,"New Mexico(andColorado?), United States",1952,Aridification and habitat destruction.[53],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,,,
572,Ilin Island cloudrunner,Crateromys paulus,"MindoroandIlin Islands, Philippines",1953,Deforestation?[407],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,,,
573,Raycraft Ranch killifish,Empetrichthys latos concavus,"Pahrump Valley, Nevada, United States",1953,Predation by introduced carps and bullfrogs.[257],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,,,
574,Faramea chiapensis,Faramea chiapensis,"Selva Negra,Chiapas, Mexico",1953,Deforestation for agriculture.[408],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,2020(IUCN),,
575,Negros fruit dove,Ptilinopus arcanus,"Negros Island, Philippines",1953,Deforestation?[53],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,,,
576,Schizothorax saltans,Schizothorax saltans,"Talas Riverbasin, Kazakhstan",1953,"Water extraction, pollution, andfisheries.[409]",Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,2020(IUCN),,
577,Maravillas red shiner,Cyprinella lutrensis blairi,"Maravillas Creek, Texas, United States",1954,Introduction ofplains killifish.[257],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,1987,,
578,Plateau chub,Evarra eigenmanni,"ChalcoandXochimilco-Tlahuacchannels,Valley of Mexico",1954,Habitat destruction and pollution.[410],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,1986(IUCN),,
579,Coosa elktoe,Alasmidonta mccordi,"Coosa River,Alabama, United States",1956,Impoundmentof the Coosa River.[411],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,2000(IUCN),,
580,Imperial woodpecker,Campephilus imperialis,North-Central Mexico,1956,Hunting and habitat loss.[412],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,,,
581,Levuana moth,Levuana iridescens,"Viti Levu, Fiji",1956,"Introduction of theparasiticflyBessa remotabycoconut farmers, as a form ofbiological pest control. It's been argued thatL. iridescenswas not actually native to Fiji and that lack of post-1956 records is the result of diminished enthomological research after Fiji's independence.[413]",Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,1994(IUCN)[414],,
582,Crescent nail-tail wallaby,Onychogalea lunata,Western and central Australia,1956,"Predation by introduced foxes and feral cats, human-inducedhabitat degradation.[416]",Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,1982(IUCN),,
583,Thicktail chub,Gila crassicauda,"California Central ValleyandSan Francisco Bay, United States",1957,Habitat destruction for agriculture and introduced fish.[257],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,,,
584,Scioto madtom,Noturus trautmani,"Big Darby Creek,Ohio, United States",1957,Undetermined.[417],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,2013(IUCN),,
585,Hainan ormosia,Ormosia howii,"HainanandGuangdong, China",1957,Possibly deforestation for agriculture.[419],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,1998(IUCN),,
586,Pahrump Ranch poolfish,Empetrichthys latos pahrump,"Nye County, Nevada, United States",1958,Habitat destruction by excessive water pumping.[257],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,,,
587,Blue Pike,Stizostedion vitreum glaucum,"Lake Erie,Ontario, andNiagara River",1958,Overfishing and hybridization withwalleye.[420],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,1983,,
588,Rennell Island teal,Anas gibberifrons remissia,"Rennell Island, Solomon Islands",1959,Competition with introducedTilapiafish.[53],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,,,
589,Santa Barbara song sparrow,Melospiza melodia graminea,"Santa Barbara Island, California, United States",1959,Wildfire.[420],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,,,M. melodia,,,,,,1983,,
590,Lesser bilby,Macrotis leucura,Deserts of Australia,c. 1960,"Probably predation by introduced cats and red foxes, and changes to thefire regime.[421]",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,1982(IUCN),,
591,Candango mouse,Juscelinomys candango,"Brasilia, Brazil",1960,Urban sprawl.[422],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,2008(IUCN),,
592,Viesca mud turtle,Kinosternon hirtipes megacephalum,"Southwestern Coahuila, Mexico",1961,Aridification.[423],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
593,Semper's warbler,Leucopeza semperi,St Luciamountains,1961,Predation by introducedJavan mongooses.[424],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
594,Durango shiner,Notropis aulidion,"Tunal river,Durango, Mexico",1961,Pollution and introduced species.[257],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
595,Kākāwahie,Paroreomyza flammea,"Molokai, Hawaii, United States",1961-1963,Probably habitat destruction and introduced disease.[425],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,19791994(IUCN),,
596,Red-bellied gracile opossum,Cryptonanus ignitus,"Jujuy, Argentina",1962,Habitat loss to agriculture and industry development.[426],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,2008(IUCN),,
597,Hawaii chaff flower,Achyranthes atollensis,"TheatollsKure,Midway,Pearl and Hermes, and Laysan of theNorthwestern Hawaiian Islands, United States",1964,Habitat loss due to the construction of military installations.[427],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,2003(IUCN),,
598,Barbodes disa,Barbodes disa,"Lake Lanao, Mindanao, Philippines",1964,Overfishing and predation by introducedtank gobyandornate sleeper.[428][429][430][431][432][433],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,2020(IUCN),,
599,South Island snipe,Coenocorypha iredalei,"South and Stewart islands, New Zealand",1964,Predation by introduced animals.[434],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,2014(IUCN),,
600,Lake Ontario kiyi,Coregonus kiyi orientalis,Lake Ontario,1964,"Overfishing, introduction of exotic species, eutrophication, and water pollution.[257]",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
601,Goldman's yellow rail,Coturnicops noveboracensis goldmani,"Lerma River, Mexico",1964,Undetermined.[53],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
