,Conservation Status,Locations,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Color,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Distinctive Feature,Temperament,Training,Type,Litter Size,Predators,Height,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Water Type,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Origin,Favorite Food,Migratory,Optimum pH Level,Special Features,Water type,Optimum PH Level
937,Least Concern,Africa,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leptailurus,Leptailurus serval,"Rodents, Birds, Frogs",Kitten,Solitary,Can leap more than 1 meter into the air!,Stable,Habitat loss and hunting,Large and round dish-like ears,African Serval,72 days,Wetlands and grasslands close to water,Carnivore,2,Crepuscular,Serval,10,Sub-Saharan Africa,Can leap more than 1 meter into the air!,Mammal,BrownYellowBlackWhiteOrange,Fur,40 mph,10 - 20 years,3.5kg - 19kg (7.7lbs - 41.9lbs),60cm - 100cm (23.6in - 39.4in),18 - 24 months,5 months,,,,,,"Human, Leopard, Hyena",,,,,,,,,,,,,,,,,,
938,Endangered,Ocean,Animalia,Chordata,Chondrichthyes,,,,,"Sea lion, seals, humans, small fishes, and invertebrates",,,No shark species has any bones in their bodies,,"Killer whales, sperm whales and humans",,,Two years,,Carnivore,,,Shark,,USA and Australian waters mostly,,,GreyYellowBlackWhiteCream,Rough,,20-30 years,1500 to 4000 pounds,5.8 to 7 feet,,,,,,Fish,,,,,,,,,,,,,,,"Sea lion, seals, humans, small fishes, and invertebrates",,,,,
939,Least Concern,North-America,Animalia,Chordata,Reptilia,"Reptilia Order:	Squamata",Colubridae,Contia,Contia tenuis,Slugs,Snakelet or hatchling,Semi-social,This snake uses its sharp tail to steady itself when capturing prey.,"100,000 plus adults",Habitat loss,"Spiny, sharp tail","Pacific brown snake, gentle brown snake",Summer to mid-fall,"Moist areas including woodlands, forests, grasslands",Carnivore,,,Sharp-tailed snake,,"Western part of the United States, British Columbia",,Semi-social,BrownGreyRedWhite,Scales,,10 years,5 ounces,12in -19in,,Birth,,,,Reptile,3-8 eggs,"Birds, larger snakes, foxes, cats",,,,,,,,,,,,,,,,,,
940,Least Concern,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,,,Flock,Sheep were one of the first and most successful domesticated species in the world.,,,,,,Grass plains and mountainous regions,Herbivore,1,Flock,,,,Around 35 million in the English countryside!,,BrownYellowBlackWhite,Wool,25 mph,5-10 years,40-130kg (88-298lbs),,,,,,,Mammal,,,,,,,,"Grass, Weeds, Flowers",,,,,,,Grass,,,,Saltwater,
941,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,Some police officers with allergies use Shepadoodles as their K-9 partner,,,,,,,Omnivore,,,,,,,,BrownBlackWhite,Hair,,11-14 years,90 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,These dogs can sometimes be overly aggressive.,,,,,,,Omnivore,,,,,,,,BrownBlackWhiteGoldTan,Hair,,10-13 years,110 lbs,,,,,"Active, loyal, eager to please",,,,,,,,,,,,,,,,,,,,,,
943,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The Shepweiler is an excellent guard dog.,,,,,,,Omnivore,,,,,,,,BrownFawnRedBlackWhiteTan,Hair,,10 to 13 years,115 lbs,,,,,"Protective, loyal, and intelligent",,,,,,,,,,,,,,,,,,,,,,
944,Not Listed,Asia,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,Shiba Inus are one of six native dog breeds from Japan.,,,,,,,Omnivore,,,,,,,,,Hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Not Listed,Asia,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,,Omnivore,,,Shih Tzu,,,Can live for up to 15 years!,Herd,,Hair,,15 years,8kg (18lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Vulnerable,Africa,Animalia,Chordata,Aves,Pelecaniformes,Balaenicipitidae,Balaeniceps,Balaeniceps rex,"Fish, snakes, frogs, turtles, lizards, and more",,,Adults greet each other by clattering their bills together.,"11,000 - 15,000",Habitat destruction,Shoe-shaped bill,Whaleheaded stork,,Wetlands,Carnivore,,,Shoebill stork,1,East Africa,,,GreyYellowBlue,Feathers,30 mph,Up to 35 years,12lbs,,,,,,,Bird,,Humans and crocodiles,3.5-4.5ft,8ft,30 days,,,,,,,Small islands or floating vegetation,3-4 months,,,,,,,
